t,p,v,a,theta
0,0.0465250884724573,0,0,90
3.15544362088405e-30,0.0465250884724572,2.80964503160208e-55,1.80720862652507e-25,90
0.00046875,0.0465258695507217,0.00463336007199376,16.7987457326483,90.0002734875445
0.00121483055735236,0.0465347496108465,0.0196414606430948,20.631474425647,90.0033827776155
0.00203297019137612,0.0465572117637483,0.0345388940416269,15.2277511509049,90.0112478783284
0.00301851947476303,0.0465974566138395,0.0460348198917935,8.42768331975967,90.0253400650637
0.0042330218489429,0.0466581418310672,0.0529295180299382,3.49510093618889,90.0465908720375
0.00584213347354521,0.0467464129379932,0.0561318047909071,0.948033498176667,90.0775043041293
0.00850720508567896,0.0468978614828277,0.0571380367962844,0.0528054199309913,90.1305502356182
0.0114607148371501,0.0470666963731278,0.0573350299835105,-0.12893806190954,90.1896965117685
0.0140802012778694,0.047216633151781,0.0572898082613029,-0.07340705847475,90.2422318577329
0.0166243624559336,0.0473622509917226,0.0572422659376442,-0.0293261210776033,90.2932624778091
0.0196665985457941,0.0475363077398167,0.0572290021428097,-0.0266473404938664,90.3542704042992
0.0233621554237692,0.0477476589946645,0.0572526012423938,-0.0654268034156937,90.4283666363405
0.0270824569680448,0.0479603155056008,0.0573356626253107,-0.165318561381211,90.5029386847655
0.0301653584377256,0.0481366072708976,0.0572908835476677,-0.130468449745043,90.5647726774115
0.0328117775842792,0.0482879628358153,0.0571991660570867,-0.0464201973177481,90.617870477077
0.0356699626144724,0.0484513347779869,0.0571670985998838,-0.024722463168008,90.6751943559751
0.0391909508285541,0.0486525100954581,0.0571673705646233,-0.0387793525994615,90.7457977964484
0.043121231688604,0.0488769516395755,0.0572312902830431,-0.119236165857128,90.8245864493654
0.0466043390651986,0.0490758171053058,0.0572772806377738,-0.179541567940705,90.8944143672371
0.0494135706879051,0.0492363181390742,0.0571676137488514,-0.0792244168589098,90.9507834332751
0.0520937276025865,0.0493893716513896,0.0571080123627103,-0.0294112368080118,91.0045470011264
0.0552943979714793,0.0495720576939126,0.0570926104385315,-0.0265740539274523,91.0687326756254
0.0591620816877476,0.0497927165049425,0.0571191224518294,-0.0688913862074258,91.1462788226432
0.0629952193761664,0.0500112789770977,0.057212821409519,-0.17901282338228,91.2231088264157
0.0661074600674585,0.0501888251367009,0.0571555497667339,-0.133632754227153,91.2855357627054
0.0687566013531977,0.0503399711967629,0.0570570834949612,-0.04489711901212,91.3386909348083
0.0716430578779036,0.0505045511499196,0.0570244583096901,-0.0237083268841358,91.3965818607711
0.0752329309677019,0.0507091510349215,0.0570247010813199,-0.0386305185729079,91.4685663026679
0.0792404133388014,0.0509374209418295,0.0570946927437713,-0.125669357562988,91.5489003107882
0.0820377848160641,0.0510968537707415,0.0570115898041094,-0.0534039460502483,91.6050224653256
0.0848351562933269,0.0512562123508615,0.0569710031607123,-0.0240766879569112,91.6611297768837
0.0883147020369699,0.0514543431733699,0.056965234363598,-0.032730974658578,91.7309039238624
0.0923377661749538,0.051683297667453,0.057021658335417,-0.10635911871069,91.811554956405
0.0952171891612405,0.0518472312202952,0.0569557333970319,-0.0520440204646287,91.8693163908293
0.0980966121475271,0.0520111017652347,0.0569183998890626,-0.0265829704122495,91.9270678158045
0.101584366447513,0.0522095062286742,0.056913642307032,-0.0365413700612833,91.9970061106193
0.105517853721555,0.0524331499799387,0.0569638010056358,-0.103714369790752,92.075862985731
0.109094162628523,0.0526364221646892,0.0570162672917309,-0.17173789031402,92.147556846826
0.112001403116855,0.0528017644610692,0.0569190250642369,-0.0863736978526263,92.2058870085267
0.11471409584053,0.0529559842984885,0.0568539317825276,-0.0325763981459183,92.2603048194155
0.117876347150944,0.0531356661776633,0.0568344584811016,-0.0266476680513002,92.3237211688763
0.121696211302061,0.0533526157058445,0.0568522344014971,-0.0610789702117932,92.4003108737857
0.125570414501481,0.0535725218550143,0.0569356924095989,-0.161833586935347,92.4779670651263
0.128777665707285,0.0537546262987464,0.0568993037022673,-0.139281203603059,92.5422916163252
0.131481963577017,0.0539082082979182,0.0567986806211535,-0.0500393136404035,92.5965535317261
0.134347901895561,0.0540708663772969,0.0567612041286399,-0.0250149471408092,92.6540344510174
0.137875981359517,0.0542710137195565,0.0567566364875708,-0.0360374488066358,92.7247810149487
0.141871677301192,0.0544975608394292,0.0568133813567729,-0.110796106200524,92.8048825936174
0.145457294715737,0.0547007904479214,0.0568709773864824,-0.184645703982211,92.8767609448116
0.148327523205903,0.0548635873238355,0.0567602428213708,-0.0862961745766834,92.9343536201071
0.151008592608489,0.0550155857545152,0.0566931915198539,-0.031023225429686,92.9881378993758
0.154181116045872,0.0551953450869655,0.0566736234385657,-0.025698792886703,93.0517600420617
0.158051104633981,0.0554145193884409,0.0566928221672372,-0.0625215284378342,93.1293540152211
0.161959819653293,0.0556357449693302,0.0567856251468746,-0.173487863200448,93.2076985186215
0.16514999047528,0.0558163702440666,0.0567415141866177,-0.143792563160303,93.2716831041791
0.167820439800644,0.0559676031307341,0.0566347161939221,-0.0488494394849262,93.325268403307
0.170675127988168,0.0561291576080289,0.0565969290081823,-0.0240719195349568,93.3825236759784
0.174228851883336,0.0563301779566645,0.056592111491389,-0.0356695550610724,93.4537842806659
0.17826695853174,0.056558460892386,0.056653135248938,-0.115663494682884,93.5347343749087
0.181112533059221,0.0567194005830899,0.0565771082891715,-0.0526398227648264,93.5918203639468
0.183958107586703,0.0568802670878691,0.056536693809456,-0.0254022270609661,93.6488937566413
0.187456901462104,0.057077967264073,0.0565295175328791,-0.0346354035107063,93.7190536478738
